               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.023072,           0.0059977,                   0,             0.84913,             0.76574,              0.8034,             0.37852,             0.03589,           0.0084723,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.022917,             0.00588,                   0,              0.8216,             0.80272,              0.8136,             0.38152,            0.036279,           0.0083177,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.023057,           0.0058226,                   0,             0.88395,              0.7619,             0.83048,             0.39848,            0.035624,           0.0081848,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.022757,           0.0059374,                   0,             0.86256,             0.78912,             0.82597,             0.38919,            0.034699,           0.0081198,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022938,           0.0059876,                   0,             0.83507,             0.79223,              0.8043,             0.38345,            0.034854,           0.0082811,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.023022,            0.005911,                   0,             0.83374,             0.78912,             0.82154,             0.39756,             0.03535,             0.00816,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022537,            0.005695,                   0,             0.89244,             0.78912,             0.83147,             0.39994,            0.035111,           0.0081618,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.022093,           0.0057168,                   0,             0.84945,             0.80605,              0.8346,              0.4044,            0.035622,           0.0081096,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.022048,           0.0056571,                   0,             0.87384,              0.7551,             0.81225,             0.38593,            0.037601,           0.0084482,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.021657,           0.0060444,                   0,             0.84291,             0.80307,              0.8177,             0.39125,            0.035407,           0.0083903,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.021548,           0.0054864,                   0,             0.85682,             0.77349,             0.80703,             0.40628,            0.035082,           0.0086391,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.02062,           0.0055448,                   0,             0.87512,             0.76273,             0.80666,             0.39739,            0.035005,           0.0085476,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.021803,            0.005635,                   0,             0.86154,             0.78912,             0.81093,             0.39723,            0.034669,           0.0085083,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021406,            0.005565,                   0,             0.91097,             0.76565,             0.82726,             0.39052,            0.034665,           0.0086068,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.021302,           0.0056101,                   0,             0.81602,             0.79592,             0.80973,              0.3978,            0.033911,           0.0084194,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020272,           0.0054809,                   0,             0.85746,             0.76871,             0.79372,             0.39356,            0.034086,           0.0085593,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.020718,           0.0054234,                   0,             0.87729,             0.77817,              0.8253,             0.39466,            0.034884,           0.0083266,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.020575,           0.0054682,                   0,             0.86946,             0.77551,             0.81561,             0.39363,            0.035767,           0.0085168,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.020536,           0.0055504,                   0,             0.83558,             0.80272,             0.80899,             0.40119,            0.035532,            0.008687,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.020053,           0.0054222,                   0,             0.87204,             0.76871,             0.81746,             0.39377,            0.036229,           0.0087555,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.019841,           0.0054919,                   0,             0.90091,             0.78912,             0.83581,             0.41478,            0.035805,           0.0089543,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.021009,           0.0055391,                   0,             0.89147,              0.7619,             0.81972,             0.39676,            0.035064,           0.0086925,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.020493,           0.0054332,                   0,             0.86978,             0.81633,             0.83281,             0.39438,            0.035708,           0.0087808,                   0,            0.002179,            0.002179,            0.002179
